x,y,vx,vy,action
7.787330746650695801e-01,3.916437327861785889e-01,1.357331993303151352e-02,-9.907454257272940712e-02,1.000000000000000000e+00
7.783440947532653809e-01,3.915452063083648682e-01,1.381485051547851929e-02,-9.904115258434234570e-02,1.000000000000000000e+00
8.467052578926086426e-01,3.935355246067047119e-01,9.248823959813723405e-02,-3.802532755989829205e-02,1.000000000000000000e+00
8.482773303985595703e-01,3.918866217136383057e-01,9.212919698092526810e-02,-3.888715808142671759e-02,1.000000000000000000e+00
9.126246571540832520e-01,3.925580382347106934e-01,3.545437243836873503e-02,-9.350394363341815729e-02,1.000000000000000000e+00
9.114263653755187988e-01,3.915188312530517578e-01,-5.950304900824826548e-02,-8.037031267030138315e-02,1.000000000000000000e+00
9.109067916870117188e-01,3.903498053550720215e-01,3.834071935855335594e-02,-9.235794085550334820e-02,1.000000000000000000e+00
9.124107956886291504e-01,3.897740542888641357e-01,8.135887539242384059e-02,5.814407446060221307e-02,1.000000000000000000e+00
9.097285866737365723e-01,4.646586775779724121e-01,-4.941809244955761016e-02,8.693590822351243697e-02,1.000000000000000000e+00
9.088134169578552246e-01,4.652489125728607178e-01,-4.871981542973929935e-02,8.732914510340827885e-02,1.000000000000000000e+00
9.074746966361999512e-01,5.329385995864868164e-01,nan,nan,1.000000000000000000e+00
9.074746966361999512e-01,5.329385995864868164e-01,nan,nan,0.000000000000000000e+00
8.550078272819519043e-01,5.257143378257751465e-01,-9.913871857283924893e-02,-1.309635368090595990e-02,0.000000000000000000e+00
8.031274676322937012e-01,5.191504955291748047e-01,-9.930245639021498261e-02,-1.179076566086577349e-02,0.000000000000000000e+00
7.512485384941101074e-01,5.133936405181884766e-01,-9.947768762929908026e-02,-1.020733383051606984e-02,0.000000000000000000e+00
6.980684995651245117e-01,5.083805918693542480e-01,-9.961751828706494338e-02,-8.737851585274448302e-03,0.000000000000000000e+00
6.460323929786682129e-01,5.041568279266357422e-01,-9.992613840642459999e-02,-3.842767645861056881e-03,0.000000000000000000e+00
6.029288172721862793e-01,5.043343305587768555e-01,-9.724166780370425978e-02,2.332505182746713590e-02,0.000000000000000000e+00
5.995197892189025879e-01,5.060519576072692871e-01,-6.696309681983346473e-02,7.426939924556823225e-02,1.000000000000000000e+00
5.817956924438476562e-01,5.526661872863769531e-01,-3.089126312109920225e-02,9.510904196123004528e-02,1.000000000000000000e+00
5.816479921340942383e-01,5.532109737396240234e-01,-5.311474194458239151e-02,8.472794219241031044e-02,1.000000000000000000e+00
5.372612476348876953e-01,5.918000340461730957e-01,-9.868529985509361113e-02,-1.616204171849157725e-02,1.000000000000000000e+00
5.367251634597778320e-01,5.908861160278320312e-01,-8.909436291003505759e-02,-4.541139171678148373e-02,1.000000000000000000e+00
4.783071279525756836e-01,5.966029167175292969e-01,-9.748626881328029126e-02,2.228065063827476544e-02,1.000000000000000000e+00
4.775177240371704102e-01,5.968927145004272461e-01,-9.997929144351638819e-02,-2.035014116022615914e-03,1.000000000000000000e+00
4.311963617801666260e-01,5.777145028114318848e-01,-8.339000929381246152e-02,-5.519154237723269962e-02,1.000000000000000000e+00
4.300784468650817871e-01,5.766156911849975586e-01,-6.458399607101017459e-02,-7.634728188678195637e-02,1.000000000000000000e+00
3.947360813617706299e-01,5.260732769966125488e-01,-4.277628936182685526e-02,-9.038909817247464673e-02,1.000000000000000000e+00
3.943654000759124756e-01,5.247534513473510742e-01,-1.328934338767714246e-02,-9.911303321119985243e-02,1.000000000000000000e+00
3.948045670986175537e-01,4.639873802661895752e-01,9.982415734297052368e-02,-5.927698606192841058e-03,1.000000000000000000e+00
3.948923647403717041e-01,4.646813273429870605e-01,9.689465311038679418e-02,2.472703376100363060e-02,1.000000000000000000e+00
4.279055893421173096e-01,4.189793467521667480e-01,9.999742957811230681e-02,7.169921690436918682e-04,1.000000000000000000e+00
4.283819794654846191e-01,4.196591675281524658e-01,9.573552109359380335e-02,2.889134820215309707e-02,1.000000000000000000e+00
4.802739322185516357e-01,3.993302583694458008e-01,9.506433623406568278e-02,3.102856710156793457e-02,1.000000000000000000e+00
4.805620312690734863e-01,3.997832834720611572e-01,8.360742826343628420e-02,5.486162537853172400e-02,1.000000000000000000e+00
5.366420745849609375e-01,4.086638689041137695e-01,8.061834534823419940e-02,5.916656482603027678e-02,1.000000000000000000e+00
5.370452404022216797e-01,4.094743430614471436e-01,6.242248024707704179e-02,7.812447734099267627e-02,1.000000000000000000e+00
5.834317803382873535e-01,4.473024606704711914e-01,5.137931329293552590e-02,8.579141079121137270e-02,1.000000000000000000e+00
5.837003588676452637e-01,4.486802220344543457e-01,2.376432832223679056e-02,9.713524952041321936e-02,1.000000000000000000e+00
6.001408696174621582e-01,5.043101906776428223e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
